car,price,body,mileage,engType,registration,year,years since
Mitsubishi,18999,crossover,173,Gas,yes,2008,8
Land Rover,0,crossover,45,Petrol,yes,2014,2
Mercedes-Benz,71999,crossover,0,Diesel,yes,2016,0
Mercedes-Benz,0,crossover,0,Diesel,yes,2016,0
Mitsubishi,18500,crossover,135,Gas,yes,2009,7
Volkswagen,18900,other,45,Diesel,yes,2013,3
Mercedes-Benz,17900,van,167,Diesel,yes,2012,4
BMW,67500,crossover,1,Diesel,yes,2016,0
BMW,67500,crossover,1,Diesel,yes,2016,0
Land Rover,28999,crossover,139,Diesel,yes,2008,8
Land Rover,49999,crossover,43,Petrol,yes,2012,4
Toyota,14700,sedan,139,Petrol,yes,2008,8
Land Rover,53500,crossover,57,Diesel,yes,2013,3
Daewoo,5600,sedan,145,Petrol,yes,2008,8
Land Rover,78900,crossover,0,Diesel,yes,2015,1
Skoda,13200,hatch,64,Petrol,yes,2012,4
BMW,37200,other,115,Diesel,yes,2011,5
Land Rover,27500,other,174,Diesel,yes,2008,8
Mazda,9200,sedan,124,Petrol,yes,2007,9
Mercedes-Benz,17500,van,220,Diesel,yes,2012,4
Toyota,24000,sedan,16,Petrol,yes,2013,3
Land Rover,77777,crossover,42,Diesel,yes,2014,2
Mazda,8000,sedan,167,Petrol,yes,2007,9
BMW,0,crossover,36,Diesel,yes,2013,3
Lexus,85999,crossover,39,Gas,yes,2013,3
Mercedes-Benz,2400,sedan,3,Diesel,yes,1998,18
Toyota,195000,crossover,0,Diesel,yes,2016,0
Audi,4600,vagon,242,Diesel,no,2004,12
Mitsubishi,18900,crossover,127,Gas,yes,2008,8
Mercedes-Benz,114999,crossover,0,Diesel,yes,2016,0
Mercedes-Benz,103333,crossover,0,Diesel,yes,2016,0
Mercedes-Benz,0,crossover,1,Petrol,yes,2015,1
Toyota,20800,crossover,107,Petrol,yes,2006,10
BMW,24500,crossover,170,Gas,yes,2007,9
Toyota,12300,sedan,157,Gas,yes,2007,9
Mercedes-Benz,20500,sedan,173,Gas,yes,2011,5
BMW,11500,sedan,193,Petrol,yes,2000,16
Mercedes-Benz,13200,van,182,Diesel,yes,2011,5
BMW,29900,crossover,235,Diesel,yes,2009,7
Mercedes-Benz,12500,van,167,Diesel,yes,2013,3
Skoda,13999,sedan,88,Petrol,yes,2012,4
Ford,15500,crossover,68,Gas,yes,2010,6
Lexus,79500,crossover,40,Petrol,yes,2014,2
Land Rover,30000,other,155,Diesel,yes,2008,8
Lexus,16600,sedan,179,Petrol,yes,2006,10
Toyota,14300,sedan,71,Petrol,yes,2008,8
Lexus,0,crossover,11,Petrol,yes,2016,0
Lexus,47000,crossover,1,Petrol,yes,2008,8
Daewoo,3200,sedan,130,Petrol,yes,2003,13
Mercedes-Benz,0,other,22,Diesel,yes,2015,1
Audi,24996,sedan,98,Petrol,yes,2009,7
Mercedes-Benz,9200,other,280,Petrol,yes,2003,13
Audi,6800,sedan,225,Gas,yes,1998,18
Ford,15500,crossover,68,Diesel,yes,2010,6
Mercedes-Benz,38200,sedan,39,Petrol,yes,2015,1
Hyundai,10500,crossover,120,Other,yes,2007,9
Skoda,19200,sedan,75,Petrol,yes,2014,2
Mercedes-Benz,125000,sedan,18,Diesel,yes,2015,1
Mercedes-Benz,0,sedan,62,Diesel,yes,2013,3
Porsche,51900,sedan,78,Petrol,yes,2011,5
Porsche,87900,crossover,1,Diesel,yes,2016,0
Toyota,9000,sedan,232,Petrol,yes,2005,11
Nissan,11500,crossover,128,Petrol,yes,2008,8
Infiniti,35999,crossover,98,Gas,yes,2012,4
Lexus,21900,sedan,77,Petrol,yes,2008,8
Toyota,13900,sedan,139,Other,yes,2008,8
Lexus,22400,crossover,100,Gas,yes,2005,11
Porsche,81000,crossover,35,Petrol,yes,2014,2
Mercedes-Benz,6200,other,340,Gas,yes,1998,18
BMW,66900,crossover,70,Diesel,yes,2014,2
BMW,104999,crossover,2,Diesel,yes,2016,0
Mercedes-Benz,38600,other,12,Petrol,yes,2012,4
Nissan,21850,crossover,64,Petrol,yes,2013,3
Mercedes-Benz,37500,other,94,Petrol,yes,2009,7
Nissan,17000,hatch,20,Other,yes,2014,2
Audi,39000,sedan,18,Other,yes,2015,1
Lexus,44500,crossover,144,Gas,yes,2009,7
Mercedes-Benz,24999,sedan,112,Diesel,yes,2012,4
Toyota,11300,hatch,87,Petrol,yes,2009,7
Nissan,25382.955,crossover,0,Diesel,yes,2016,0
Skoda,8100,sedan,135,Petrol,yes,2008,8
Mitsubishi,23000,crossover,125,Gas,yes,2008,8
Nissan,14200,sedan,28,Other,yes,2014,2
Tesla,159600,sedan,0,Other,yes,2016,0
Mercedes-Benz,0,vagon,200,Diesel,yes,2006,10
Audi,1950,vagon,210,Gas,no,1996,20
Land Rover,33000,crossover,140,Petrol,yes,2010,6
Audi,0,crossover,65,Diesel,yes,2013,3
Land Rover,51500,crossover,93,Diesel,yes,2013,3
Skoda,22700,hatch,24,Petrol,yes,2014,2
Nissan,17500,hatch,62,Other,yes,2013,3
Skoda,11900,sedan,109,Petrol,yes,2012,4
Porsche,0,crossover,200,Petrol,yes,2007,9
BMW,28000,sedan,170,Diesel,yes,2011,5
Subaru,12900,vagon,116,Petrol,yes,2008,8
Kia,16400,hatch,54,Diesel,yes,2013,3
Toyota,24171.42,sedan,1,Petrol,yes,2016,0
Audi,1950,sedan,320,Other,no,1996,20
Mercedes-Benz,20300,sedan,198,Gas,yes,2011,5
Subaru,14000,crossover,171,Petrol,yes,2010,6
Volkswagen,9900,sedan,80,Petrol,yes,2011,5
Mercedes-Benz,110000,crossover,0,Diesel,yes,2016,0
Nissan,16500,hatch,32,Other,yes,2013,3
Audi,25500,sedan,140,Petrol,yes,2012,4
Renault,13300,other,132,Diesel,yes,2012,4
Volkswagen,7000,van,345,Diesel,yes,2006,10
VAZ,3600,other,80,Gas,yes,2002,14
Honda,12990,sedan,111,Petrol,yes,2011,5
Porsche,0,sedan,14,Petrol,yes,2014,2
Land Rover,147000,crossover,15,Petrol,yes,2015,1
Honda,11900,sedan,109,Petrol,yes,2009,7
Volkswagen,12199,vagon,149,Diesel,yes,2008,8
Chevrolet,5200,sedan,179,Gas,yes,2008,8
Renault,10500,vagon,185,Diesel,yes,2011,5
Toyota,24800,sedan,43,Gas,yes,2015,1
Kia,13300,hatch,35,Petrol,yes,2012,4
Audi,2200,sedan,250,Diesel,no,2001,15
Audi,2300,vagon,250,Diesel,no,2001,15
Audi,2350,vagon,250,Diesel,no,2001,15
Audi,2500,sedan,180,Petrol,no,2000,16
BMW,0,crossover,8,Diesel,yes,2016,0
Mitsubishi,6200,sedan,152,Petrol,yes,2006,10
Nissan,18200,crossover,65,Gas,yes,2009,7
Ford,12500,sedan,63,Petrol,yes,2013,3
Porsche,117777,hatch,9,Petrol,yes,2014,2
Kia,8800,other,135,Gas,yes,2006,10
Porsche,69900,sedan,40,Diesel,yes,2013,3
Opel,5350,sedan,180,Petrol,yes,2007,9
Kia,42741.621,crossover,0,Diesel,yes,2016,0
Volkswagen,16500,sedan,123,Petrol,yes,2010,6
Chevrolet,6700,sedan,80,Petrol,yes,2011,5
Mercedes-Benz,111999,crossover,0,Diesel,yes,2016,0
Audi,3700,vagon,273,Diesel,no,2003,13
Porsche,0,crossover,13,Diesel,yes,2015,1
Alfa Romeo,5900,hatch,199,Petrol,yes,2002,14
Toyota,75500,crossover,50,Petrol,yes,2015,1
Mercedes-Benz,55000,crossover,40,Petrol,yes,2013,3
Mitsubishi,9800,sedan,148,Gas,yes,2008,8
Subaru,6100,vagon,350,Petrol,yes,2005,11
Chevrolet,5500,sedan,121,Petrol,yes,2006,10
Chevrolet,7799,sedan,199,Gas,yes,2012,4
Honda,13900,hatch,63,Petrol,yes,2013,3
Kia,14500,crossover,106,Diesel,yes,2008,8
Smart,8000,other,62,Petrol,yes,2011,5
Renault,14700,crossover,61,Diesel,yes,2013,3
Lexus,135555,crossover,0,Diesel,yes,2016,0
Hyundai,14500,crossover,102,Diesel,yes,2008,8
VAZ,4100,hatch,60,Petrol,yes,2013,3
Porsche,54900,sedan,64,Petrol,yes,2011,5
BMW,30500,sedan,73,Petrol,yes,2013,3
Volkswagen,10700,sedan,195,Petrol,yes,2007,9
Nissan,17700,hatch,21,Other,yes,2014,2
Renault,8700,vagon,123,Diesel,yes,2009,7
Mitsubishi,6200,sedan,170,Other,yes,2005,11
Honda,13200,sedan,145,Gas,yes,2008,8
Toyota,59900,crossover,90,Diesel,yes,2012,4
Ford,12099,sedan,109,Gas,yes,2011,5
Volkswagen,7300,van,240,Diesel,yes,2005,11
Mercedes-Benz,24800,other,160,Diesel,yes,2007,9
Tesla,80000,sedan,27,Other,yes,2013,3
Ford,12300,hatch,71,Gas,yes,2013,3
Subaru,17000,crossover,134,Petrol,yes,2011,5
Tesla,58000,hatch,52,Other,yes,2013,3
Land Rover,102999,crossover,39,Petrol,yes,2014,2
Peugeot,8500,van,135,Diesel,yes,2009,7
Hyundai,29999,crossover,52,Diesel,yes,2014,2
Suzuki,11500,crossover,101,Petrol,yes,2008,8
Kia,20500,crossover,98,Petrol,yes,2011,5
BMW,89999,crossover,17,Petrol,yes,2015,1
Renault,7800,vagon,120,Diesel,yes,2008,8
Lexus,16500,sedan,115,Petrol,yes,2007,9
Renault,10600,vagon,220,Other,yes,2006,10
Audi,37800,other,126,Diesel,yes,2010,6
Volkswagen,8800,van,93,Diesel,yes,2012,4
BMW,8500,sedan,284,Gas,yes,2000,16
Toyota,25900,crossover,97,Petrol,yes,2009,7
Land Rover,95000,crossover,60,Petrol,yes,2014,2
Toyota,36000,crossover,940,Other,yes,2009,7
Subaru,8000,crossover,210,Petrol,yes,2005,11
BMW,2550,sedan,280,Petrol,no,2000,16
Nissan,18500,hatch,9,Other,yes,2015,1
Nissan,20999,hatch,12,Other,yes,2015,1
Nissan,14999,hatch,31,Other,yes,2013,3
Mercedes-Benz,12600,sedan,123,Petrol,yes,2000,16
Tesla,85500,sedan,1,Other,yes,2016,0
Renault,18456.1611,crossover,1,Diesel,yes,2016,0
Mercedes-Benz,8200,sedan,280,Gas,yes,1997,19
Mazda,12500,sedan,89,Petrol,yes,2009,7
Peugeot,8300,vagon,135,Petrol,yes,2008,8
Audi,4150,sedan,220,Diesel,no,1999,17
Audi,46000,sedan,170,Diesel,yes,2011,5
Toyota,28700,crossover,100,Petrol,yes,2012,4
Daewoo,3499,hatch,104,Petrol,yes,2008,8
Skoda,7650,sedan,119,Gas,yes,2006,10
Audi,2411,sedan,240,Other,yes,1987,29
Volkswagen,8900,van,272,Diesel,yes,2005,11
Renault,11500,vagon,230,Diesel,yes,2012,4
Volkswagen,4500,van,380,Diesel,yes,2004,12
Hyundai,9600,sedan,98,Petrol,yes,2011,5
Ford,5900,hatch,138,Petrol,yes,2008,8
Mercedes-Benz,9900,sedan,275,Other,yes,2005,11
Toyota,15300,crossover,130,Petrol,yes,2008,8
Nissan,9300,hatch,97,Petrol,yes,2010,6
Renault,12499,van,78,Diesel,yes,2012,4
Nissan,15000,crossover,46,Petrol,yes,2013,3
Toyota,37700,crossover,47,Gas,yes,2009,7
BMW,8000,sedan,330,Diesel,yes,1997,19
Smart,6500,other,110,Petrol,yes,2007,9
Suzuki,9650,crossover,81,Petrol,yes,2006,10
Volkswagen,7000,sedan,185,Gas,yes,2004,12
Honda,13200,sedan,100,Petrol,yes,2012,4
Honda,13400,sedan,38,Petrol,yes,2012,4
Suzuki,6999,crossover,203,Petrol,yes,2002,14
BMW,34600,crossover,163,Petrol,yes,2011,5
Audi,1300,sedan,250,Gas,no,1994,22
Kia,23999,crossover,14,Diesel,yes,2012,4
Opel,1600,sedan,280,Diesel,yes,1987,29
Mercedes-Benz,35900,crossover,254,Gas,yes,2004,12
Ford,16400,crossover,87,Petrol,yes,2010,6
Hyundai,8900,sedan,138,Petrol,yes,2011,5
Subaru,38900,crossover,0,Diesel,yes,2016,0
Renault,13200,van,230,Diesel,yes,2009,7
Toyota,26500,crossover,21,Petrol,yes,2013,3
Volkswagen,7800,van,282,Diesel,yes,2000,16
Mercedes-Benz,109999,crossover,1,Diesel,yes,2016,0
Audi,24900,sedan,163,Diesel,yes,2008,8
Lexus,27500,crossover,150,Gas,yes,2005,11
Volkswagen,0,vagon,217,Diesel,no,2008,8
Daewoo,3950,hatch,36,Petrol,yes,2011,5
Tesla,58000,sedan,8,Other,yes,2013,3
BMW,63500,crossover,33,Petrol,yes,2015,1
Lexus,57800,crossover,60,Petrol,yes,2011,5
Renault,6800,van,131,Diesel,yes,2013,3
Tesla,59000,sedan,30,Other,yes,2013,3
Nissan,19000,crossover,70,Petrol,yes,2012,4
Toyota,14700,sedan,131,Gas,yes,2007,9
Smart,10700,other,23,Petrol,yes,2014,2
Mercedes-Benz,41900,sedan,95,Petrol,yes,2011,5
Lexus,6000,sedan,350,Petrol,yes,1996,20
Toyota,23000,other,211,Gas,yes,2007,9
Mazda,2700,other,450,Gas,yes,1989,27
Hyundai,6200,hatch,121,Gas,yes,2008,8
Toyota,28900,crossover,20,Petrol,yes,2013,3
Volkswagen,19100,sedan,4,Other,yes,2016,0
BMW,1500,sedan,270,Diesel,no,1992,24
Renault,5400,vagon,181,Diesel,no,2010,6
Nissan,15700,hatch,22,Other,yes,2013,3
BMW,26900,crossover,170,Diesel,yes,2008,8
Volkswagen,10600,van,120,Diesel,yes,2007,9
Honda,16777,sedan,77,Petrol,yes,2011,5
Land Rover,102999,crossover,39,Petrol,yes,2014,2
Mitsubishi,16900,crossover,126,Gas,yes,2008,8
BMW,8500,other,265,Gas,yes,1998,18
Mercedes-Benz,17800,van,162,Diesel,yes,2012,4
Mercedes-Benz,20300,sedan,198,Gas,yes,2011,5
Mitsubishi,7200,sedan,83,Other,yes,2007,9
Volkswagen,8599,van,169,Diesel,yes,2011,5
BMW,6400,other,220,Petrol,yes,1997,19
Ford,6450,hatch,150,Petrol,yes,2007,9
Audi,3600,sedan,374,Diesel,no,2001,15
Chevrolet,5999,sedan,121,Petrol,yes,2008,8
Mazda,25000,sedan,0,Other,yes,2016,0
Ford,6450,hatch,149,Petrol,yes,2007,9
Land Rover,47500,crossover,63,Diesel,yes,2012,4
Ford,6450,hatch,150,Petrol,yes,2007,9
Subaru,10500,sedan,125,Petrol,yes,2007,9
BMW,28900,sedan,78,Petrol,yes,2012,4
Toyota,15500,crossover,165,Gas,yes,2005,11
Nissan,15656.589,crossover,0,Petrol,yes,2016,0
Opel,6700,sedan,335,Gas,yes,1998,18
Tesla,159600,sedan,7,Other,yes,2016,0
Peugeot,6000,sedan,171,Petrol,yes,2006,10
Nissan,6700,sedan,80,Petrol,yes,2003,13
Lexus,15000,sedan,147,Other,yes,2007,9
Nissan,16800,crossover,70,Petrol,yes,2013,3
Land Rover,99000,crossover,50,Diesel,yes,2013,3
Mercedes-Benz,6999,sedan,288,Gas,yes,2001,15
Land Rover,52000,crossover,70,Diesel,yes,2012,4
Porsche,60000,other,11,Petrol,yes,2010,6
Mercedes-Benz,72700,van,42,Diesel,yes,2014,2
Opel,4200,sedan,290,Petrol,yes,1997,19
Mazda,6800,hatch,208,Petrol,yes,2003,13
Mercedes-Benz,13500,sedan,317,Petrol,yes,2001,15
Volkswagen,11000,vagon,210,Diesel,yes,2008,8
Subaru,17000,crossover,28,Petrol,yes,2010,6
Toyota,39000,crossover,88,Diesel,yes,2009,7
Mercedes-Benz,53500,crossover,46,Petrol,yes,2008,8
Toyota,28999,sedan,86,Petrol,yes,2013,3
Honda,13700,sedan,120,Petrol,yes,2008,8
BMW,42000,sedan,5,Petrol,yes,2016,0
Subaru,12200,other,103,Diesel,yes,2009,7
Hyundai,25600,crossover,94,Diesel,yes,2013,3
Volkswagen,12000,sedan,186,Petrol,yes,2006,10
Audi,2850,vagon,280,Diesel,no,1999,17
Subaru,9700,crossover,230,Gas,yes,2006,10
Chevrolet,8800,sedan,110,Gas,yes,2013,3
Volkswagen,8900,other,180,Diesel,yes,2010,6
Land Rover,169900,crossover,0,Diesel,yes,2016,0
BMW,75555,sedan,30,Petrol,yes,2014,2
Land Rover,95555,crossover,60,Diesel,yes,2014,2
BMW,42900,sedan,2,Petrol,yes,2016,0
Opel,10950,sedan,44,Gas,yes,2012,4
Mazda,2800,hatch,100,Petrol,yes,1992,24
Land Rover,79450,other,0,Diesel,yes,2016,0
Subaru,8400,sedan,170,Petrol,yes,2004,12
Toyota,12900,sedan,177,Gas,yes,2009,7
Toyota,8900,sedan,115,Petrol,yes,2008,8
Ford,2500,sedan,313,Petrol,yes,1993,23
Renault,9500,vagon,78,Diesel,yes,2014,2
Opel,6800,vagon,170,Diesel,yes,2006,10
BMW,26999,crossover,180,Gas,yes,2008,8
Renault,7250,van,83,Other,yes,2013,3
Toyota,27700,sedan,21,Petrol,yes,2015,1
Subaru,29500,crossover,0,Petrol,yes,2015,1
Renault,5300,van,145,Other,yes,2010,6
Toyota,9100,sedan,151,Gas,yes,2007,9
Subaru,14300,crossover,110,Petrol,yes,2008,8
Ford,14999,crossover,79,Petrol,yes,2013,3
BMW,6500,sedan,298,Petrol,yes,1998,18
Renault,6600,van,134,Diesel,yes,2011,5
Chevrolet,5450,sedan,242,Gas,yes,2004,12
Audi,23800,crossover,205,Gas,yes,2007,9
Toyota,20859.15,crossover,1,Petrol,yes,2016,0
Volkswagen,33700,van,11,Petrol,yes,2016,0
Volkswagen,13000,sedan,140,Petrol,yes,2006,10
Nissan,13300,crossover,127,Gas,yes,2007,9
Land Rover,44000,crossover,99,Petrol,yes,2010,6
Hyundai,39900,crossover,0,Diesel,yes,2016,0
Volkswagen,19000,sedan,109,Petrol,yes,2012,4
Ford,7200,hatch,114,Gas,yes,2009,7
Lexus,19999,crossover,142,Gas,yes,2008,8
Toyota,32000,sedan,22,Petrol,yes,2015,1
BMW,2200,sedan,303,Diesel,no,1999,17
BMW,3100,vagon,1,Diesel,no,2002,14
Toyota,35500,crossover,165,Gas,yes,2011,5
Kia,11200,sedan,60,Petrol,yes,2012,4
BMW,0,crossover,5,Diesel,yes,2016,0
Smart,8800,other,26,Petrol,yes,2011,5
Mitsubishi,8000,crossover,220,Gas,yes,2004,12
Chevrolet,7800,vagon,142,Gas,yes,2010,6
Skoda,8500,sedan,149,Gas,yes,2008,8
Volkswagen,13499,sedan,162,Petrol,yes,2012,4
Smart,4200,other,130,Petrol,yes,2002,14
Volkswagen,11500,other,189,Diesel,yes,2011,5
Hyundai,37400,crossover,0,Diesel,yes,2016,0
Renault,10999,van,207,Diesel,yes,2012,4
Mercedes-Benz,3500,van,395,Diesel,no,1997,19
Peugeot,17895.15,hatch,0,Diesel,yes,2016,0
Honda,13950,sedan,143,Petrol,yes,2008,8
Mercedes-Benz,43500,sedan,59,Petrol,yes,2011,5
Hyundai,18900,crossover,145,Gas,yes,2011,5
Chery,3500,sedan,83,Petrol,yes,2008,8
Lexus,0,crossover,22,Diesel,yes,2016,0
Bentley,85000,other,20,Petrol,yes,2008,8
BMW,0,sedan,240,Gas,yes,1997,19
Volkswagen,23000,sedan,75,Petrol,yes,2013,3
