,car,price,body,mileage,engType,registration,year,years since
358,Toyota,15300.0,crossover,130,Petrol,yes,2008,8
362,Toyota,37700.0,crossover,47,Gas,yes,2009,7
363,BMW,8000.0,sedan,330,Diesel,yes,1997,19
366,Volkswagen,7000.0,sedan,185,Gas,yes,2004,12
370,BMW,34600.0,crossover,163,Petrol,yes,2011,5
374,Mercedes-Benz,35900.0,crossover,254,Gas,yes,2004,12
379,Toyota,26500.0,crossover,21,Petrol,yes,2013,3
380,Volkswagen,7800.0,van,282,Diesel,yes,2000,16
381,Mercedes-Benz,109999.0,crossover,1,Diesel,yes,2016,0
387,BMW,63500.0,crossover,33,Petrol,yes,2015,1
392,Toyota,14700.0,sedan,131,Gas,yes,2007,9
394,Mercedes-Benz,41900.0,sedan,95,Petrol,yes,2011,5
396,Toyota,23000.0,other,211,Gas,yes,2007,9
399,Toyota,28900.0,crossover,20,Petrol,yes,2013,3
400,Volkswagen,19100.0,sedan,4,Other,yes,2016,0
401,BMW,1500.0,sedan,270,Diesel,no,1992,24
404,BMW,26900.0,crossover,170,Diesel,yes,2008,8
405,Volkswagen,10600.0,van,120,Diesel,yes,2007,9
409,BMW,8500.0,other,265,Gas,yes,1998,18
410,Mercedes-Benz,17800.0,van,162,Diesel,yes,2012,4
411,Mercedes-Benz,20300.0,sedan,198,Gas,yes,2011,5
413,Volkswagen,8599.0,van,169,Diesel,yes,2011,5
414,BMW,6400.0,other,220,Petrol,yes,1997,19
423,BMW,28900.0,sedan,78,Petrol,yes,2012,4
424,Toyota,15500.0,crossover,165,Gas,yes,2005,11
433,Mercedes-Benz,6999.0,sedan,288,Gas,yes,2001,15
436,Mercedes-Benz,72700.0,van,42,Diesel,yes,2014,2
439,Mercedes-Benz,13500.0,sedan,317,Petrol,yes,2001,15
440,Volkswagen,11000.0,vagon,210,Diesel,yes,2008,8
442,Toyota,39000.0,crossover,88,Diesel,yes,2009,7
443,Mercedes-Benz,53500.0,crossover,46,Petrol,yes,2008,8
444,Toyota,28999.0,sedan,86,Petrol,yes,2013,3
446,BMW,42000.0,sedan,5,Petrol,yes,2016,0
449,Volkswagen,12000.0,sedan,186,Petrol,yes,2006,10
453,Volkswagen,8900.0,other,180,Diesel,yes,2010,6
455,BMW,75555.0,sedan,30,Petrol,yes,2014,2
457,BMW,42900.0,sedan,2,Petrol,yes,2016,0
462,Toyota,12900.0,sedan,177,Gas,yes,2009,7
463,Toyota,8900.0,sedan,115,Petrol,yes,2008,8
467,BMW,26999.0,crossover,180,Gas,yes,2008,8
469,Toyota,27700.0,sedan,21,Petrol,yes,2015,1
472,Toyota,9100.0,sedan,151,Gas,yes,2007,9
475,BMW,6500.0,sedan,298,Petrol,yes,1998,18
479,Toyota,20859.15,crossover,1,Petrol,yes,2016,0
480,Volkswagen,33700.0,van,11,Petrol,yes,2016,0
481,Volkswagen,13000.0,sedan,140,Petrol,yes,2006,10
485,Volkswagen,19000.0,sedan,109,Petrol,yes,2012,4
488,Toyota,32000.0,sedan,22,Petrol,yes,2015,1
489,BMW,2200.0,sedan,303,Diesel,no,1999,17
490,BMW,3100.0,vagon,1,Diesel,no,2002,14
491,Toyota,35500.0,crossover,165,Gas,yes,2011,5
498,Volkswagen,13499.0,sedan,162,Petrol,yes,2012,4
500,Volkswagen,11500.0,other,189,Diesel,yes,2011,5
503,Mercedes-Benz,3500.0,van,395,Diesel,no,1997,19
506,Mercedes-Benz,43500.0,sedan,59,Petrol,yes,2011,5
512,Volkswagen,23000.0,sedan,75,Petrol,yes,2013,3
516,Mercedes-Benz,7900.0,other,206,Diesel,yes,2004,12
521,BMW,13700.0,crossover,270,Gas,yes,2004,12
522,BMW,2900.0,vagon,236,Diesel,no,2001,15
523,Volkswagen,8500.0,other,200,Diesel,yes,2011,5
526,Mercedes-Benz,13600.0,van,190,Diesel,yes,2009,7
537,Toyota,3700.0,hatch,282,Petrol,yes,1995,21
539,BMW,10999.0,sedan,225,Diesel,yes,2003,13
544,Toyota,11700.0,sedan,131,Petrol,yes,2007,9
545,Volkswagen,14500.0,sedan,1,Other,yes,2016,0
546,Mercedes-Benz,15300.0,other,120,Petrol,yes,2004,12
547,Mercedes-Benz,35500.0,crossover,99,Gas,yes,2005,11
548,BMW,6500.0,sedan,335,Petrol,yes,1996,20
549,Mercedes-Benz,44000.0,other,82,Petrol,yes,2010,6
550,Mercedes-Benz,12000.0,van,177,Diesel,yes,2013,3
555,BMW,32500.0,crossover,152,Diesel,yes,2008,8
556,Toyota,24000.0,crossover,73,Petrol,yes,2008,8
558,Volkswagen,13500.0,van,124,Diesel,yes,2013,3
559,Toyota,15500.0,crossover,146,Gas,yes,2008,8
560,BMW,15000.0,other,205,Petrol,yes,2004,12
562,BMW,13900.0,crossover,184,Gas,yes,2004,12
564,Mercedes-Benz,250000.0,other,6,Petrol,yes,2016,0
566,Toyota,19800.0,crossover,252,Diesel,yes,2002,14
567,Mercedes-Benz,249999.0,other,3,Petrol,yes,2016,0
572,VAZ,3300.0,sedan,200,Gas,yes,2004,12
573,BMW,11400.0,sedan,206,Petrol,yes,2003,13
575,Toyota,20800.0,sedan,49,Petrol,yes,2011,5
580,Toyota,18400.0,crossover,160,Gas,yes,2003,13
582,Volkswagen,51900.0,crossover,30,Diesel,yes,2015,1
583,Toyota,8300.0,sedan,140,Petrol,yes,2002,14
587,Mercedes-Benz,16800.0,other,266,Diesel,yes,2007,9
588,Volkswagen,37900.0,crossover,73,Diesel,yes,2012,4
589,Volkswagen,8700.0,other,520,Diesel,yes,1999,17
590,Mercedes-Benz,15200.0,sedan,195,Diesel,yes,2007,9
592,Toyota,14500.0,sedan,127,Gas,yes,2008,8
594,BMW,13500.0,sedan,233,Diesel,yes,2003,13
595,Mercedes-Benz,31900.0,sedan,97,Diesel,yes,2011,5
597,Mercedes-Benz,11800.0,sedan,167,Diesel,yes,2003,13
601,Mercedes-Benz,3550.0,sedan,274,Diesel,no,2002,14
602,Mercedes-Benz,39900.0,crossover,127,Petrol,yes,2010,6
608,Volkswagen,20600.0,sedan,107,Petrol,yes,2012,4
609,Mercedes-Benz,9200.0,sedan,172,Petrol,yes,1997,19
610,Mercedes-Benz,26800.0,vagon,160,Diesel,yes,2014,2
612,Volkswagen,25999.0,sedan,60,Petrol,yes,2014,2
613,Volkswagen,7600.0,van,158,Diesel,yes,2009,7
615,Mercedes-Benz,140000.0,crossover,88,Petrol,yes,2013,3
618,BMW,21500.0,other,72,Petrol,yes,2007,9
619,Toyota,24800.0,crossover,90,Petrol,yes,2008,8
620,Mercedes-Benz,46700.0,sedan,115,Petrol,yes,2011,5
623,BMW,86999.0,crossover,0,Diesel,yes,2016,0
624,Toyota,37600.0,crossover,126,Petrol,yes,2008,8
626,BMW,2450.0,sedan,328,Diesel,no,1996,20
629,Volkswagen,19900.0,other,112,Petrol,yes,2012,4
631,Volkswagen,20900.0,sedan,82,Diesel,yes,2012,4
633,BMW,17900.0,other,98,Petrol,yes,2007,9
634,Toyota,19000.0,crossover,263,Diesel,yes,2001,15
636,Mercedes-Benz,124999.0,crossover,0,Diesel,yes,2016,0
639,Volkswagen,6500.0,vagon,101,Diesel,yes,2011,5
645,Mercedes-Benz,21000.0,crossover,135,Petrol,yes,2007,9
646,Mercedes-Benz,39900.0,sedan,29,Petrol,yes,2007,9
647,Mercedes-Benz,11000.0,sedan,319,Diesel,yes,2003,13
648,Volkswagen,10600.0,van,153,Diesel,yes,2012,4
649,Mercedes-Benz,12700.0,van,160,Diesel,yes,2007,9
655,Toyota,16000.0,crossover,250,Gas,yes,2001,15
659,Toyota,37500.0,crossover,115,Petrol,yes,2008,8
661,BMW,39600.0,crossover,98,Petrol,yes,2011,5
666,BMW,30500.0,sedan,630,Petrol,yes,2010,6
667,BMW,29500.0,sedan,850,Petrol,yes,2011,5
669,VAZ,3350.0,sedan,154,Gas,yes,2008,8
672,Volkswagen,2450.0,sedan,200,Gas,yes,1991,25
673,Toyota,11999.0,sedan,139,Petrol,yes,2008,8
675,Mercedes-Benz,39900.0,sedan,84,Petrol,yes,2011,5
678,Volkswagen,12000.0,van,196,Diesel,yes,2011,5
679,BMW,33000.0,sedan,147,Diesel,yes,2009,7
683,BMW,49900.0,other,82,Petrol,yes,2012,4
686,Volkswagen,9200.0,sedan,195,Petrol,yes,2006,10
690,Volkswagen,3000.0,sedan,240,Petrol,yes,1991,25
694,Volkswagen,10800.0,other,146,Diesel,yes,2012,4
695,BMW,16800.0,crossover,250,Diesel,yes,2004,12
698,VAZ,2900.0,sedan,84,Petrol,yes,2007,9
700,BMW,23999.0,crossover,194,Petrol,yes,2007,9
702,Mercedes-Benz,69900.0,sedan,76,Petrol,yes,2010,6
704,VAZ,3600.0,sedan,35,Petrol,yes,2009,7
710,Volkswagen,9850.0,van,126,Diesel,yes,2012,4
712,Volkswagen,19500.0,sedan,128,Petrol,yes,2013,3
715,Mercedes-Benz,29000.0,crossover,139,Gas,yes,2009,7
716,Volkswagen,15000.0,other,280,Diesel,yes,2006,10
717,Toyota,10700.0,sedan,57,Petrol,yes,2010,6
721,Toyota,33715.5,crossover,1,Petrol,yes,2015,1
723,Toyota,164500.0,crossover,0,Diesel,yes,2015,1
737,Toyota,19500.0,crossover,150,Petrol,yes,2005,11
740,Mercedes-Benz,32000.0,crossover,96,Petrol,yes,2010,6
741,Toyota,10500.0,sedan,185,Petrol,yes,2008,8
747,BMW,1650.0,sedan,270,Petrol,no,1995,21
748,BMW,3150.0,sedan,200,Diesel,no,1999,17
749,Mercedes-Benz,45555.0,sedan,42,Diesel,yes,2011,5
750,Volkswagen,16000.0,crossover,90,Petrol,yes,2011,5
752,Volkswagen,9555.0,van,152,Diesel,yes,2012,4
753,Volkswagen,10777.0,van,157,Diesel,yes,2012,4
755,Volkswagen,11000.0,vagon,171,Diesel,yes,2009,7
758,Volkswagen,12700.0,hatch,156,Diesel,yes,2011,5
760,BMW,99999.0,other,0,Petrol,yes,2016,0
761,VAZ,3100.0,sedan,160,Petrol,yes,2006,10
763,Volkswagen,17777.0,van,250,Diesel,yes,2010,6
764,Mercedes-Benz,3799.0,sedan,210,Petrol,yes,1995,21
766,Mercedes-Benz,114999.0,crossover,0,Diesel,yes,2016,0
769,Mercedes-Benz,14600.0,van,217,Diesel,yes,2012,4
771,BMW,16500.0,other,122,Petrol,yes,2005,11
772,BMW,12600.0,sedan,219,Petrol,yes,2002,14
774,BMW,3100.0,sedan,315,Diesel,no,1998,18
781,VAZ,5450.0,sedan,67,Petrol,yes,2013,3
784,Volkswagen,8999.0,vagon,161,Diesel,yes,2008,8
785,BMW,20500.0,crossover,73,Petrol,yes,2011,5
786,Toyota,11800.0,sedan,189,Gas,yes,2007,9
787,Volkswagen,12800.0,vagon,167,Diesel,yes,2011,5
788,VAZ,3350.0,hatch,190,Gas,yes,2008,8
790,Mercedes-Benz,24500.0,sedan,222,Petrol,yes,2005,11
792,BMW,5000.0,sedan,400,Petrol,yes,1991,25
797,BMW,8200.0,sedan,210,Petrol,yes,1999,17
798,Mercedes-Benz,11200.0,sedan,280,Diesel,yes,2005,11
802,BMW,37000.0,sedan,130,Petrol,yes,2011,5
803,Toyota,16800.0,crossover,165,Petrol,yes,2005,11
806,BMW,3300.0,sedan,250,Diesel,no,2000,16
812,Toyota,21950.0,crossover,141,Gas,yes,2010,6
818,Toyota,24999.0,crossover,153,Petrol,yes,2007,9
821,Mercedes-Benz,7600.0,van,240,Diesel,yes,2005,11
822,BMW,14900.0,vagon,221,Diesel,yes,2008,8
823,Mercedes-Benz,5300.0,van,212,Diesel,yes,2000,16
824,VAZ,800.0,other,150,Petrol,yes,2002,14
826,Volkswagen,13700.0,other,103,Diesel,yes,2011,5
827,BMW,2550.0,vagon,312,Diesel,no,1999,17
828,Toyota,13300.0,other,131,Gas,yes,2008,8
832,Toyota,12200.0,sedan,185,Petrol,yes,2008,8
834,Mercedes-Benz,22900.0,sedan,197,Diesel,yes,2010,6
837,BMW,45000.0,sedan,110,Other,yes,2012,4
838,Mercedes-Benz,11500.0,van,180,Diesel,yes,2011,5
840,Volkswagen,15500.0,sedan,80,Petrol,yes,2013,3
841,Toyota,28600.0,crossover,66,Diesel,yes,2013,3
842,Mercedes-Benz,14900.0,sedan,171,Gas,yes,2006,10
843,BMW,26999.0,sedan,131,Diesel,yes,2011,5
844,Toyota,13250.0,sedan,96,Gas,yes,2008,8
850,Mercedes-Benz,10900.0,van,191,Diesel,yes,2007,9
851,Toyota,99999.0,crossover,0,Diesel,yes,2016,0
853,BMW,13300.0,vagon,157,Diesel,yes,2007,9
859,Toyota,8700.0,sedan,131,Gas,yes,2007,9
865,Volkswagen,11500.0,sedan,119,Diesel,yes,2007,9
867,Volkswagen,10974.21,sedan,1,Petrol,yes,2015,1
871,BMW,3500.0,sedan,272,Diesel,yes,2000,16
877,Mercedes-Benz,29500.0,crossover,253,Petrol,yes,2003,13
878,Mercedes-Benz,71999.0,crossover,0,Diesel,yes,2016,0
880,BMW,29500.0,crossover,189,Diesel,yes,2009,7
882,BMW,39000.0,crossover,180,Diesel,yes,2011,5
886,BMW,10700.0,sedan,243,Diesel,yes,2002,14
894,Toyota,14400.0,crossover,119,Gas,yes,2008,8
896,Toyota,12800.0,sedan,145,Petrol,yes,2008,8
897,VAZ,1850.0,sedan,60,Other,yes,1989,27
899,BMW,31500.0,crossover,130,Diesel,yes,2010,6
900,BMW,33700.0,crossover,134,Petrol,yes,2009,7
901,Volkswagen,9999.0,vagon,161,Diesel,yes,2008,8
903,BMW,20999.0,crossover,170,Petrol,yes,2008,8
904,Toyota,20900.0,sedan,70,Petrol,yes,2012,4
905,BMW,20500.0,other,114,Other,yes,2008,8
909,Toyota,14800.0,crossover,150,Gas,yes,2006,10
913,Mercedes-Benz,6999.0,sedan,200,Gas,yes,2001,15
926,Toyota,23300.0,crossover,40,Petrol,yes,2014,2
934,Toyota,25500.0,other,103,Petrol,yes,2010,6
935,BMW,36400.0,crossover,80,Petrol,yes,2011,5
938,Mercedes-Benz,13700.0,van,198,Gas,yes,2006,10
940,Toyota,10100.0,sedan,142,Petrol,yes,2007,9
941,Mercedes-Benz,13600.0,van,199,Diesel,yes,2009,7
945,Toyota,25250.0,crossover,112,Gas,yes,2007,9
946,Volkswagen,4999.0,van,225,Other,no,2003,13
947,Volkswagen,10400.0,sedan,87,Petrol,yes,2011,5
950,Toyota,65000.0,other,60,Diesel,yes,2013,3
951,BMW,22700.0,crossover,216,Petrol,yes,2007,9
953,VAZ,1499.0,hatch,74,Other,yes,1989,27
954,Toyota,33333.0,vagon,73,Gas,yes,2009,7
955,Toyota,85000.0,crossover,1,Diesel,yes,2016,0
960,BMW,75000.0,crossover,16,Diesel,yes,2015,1
964,Volkswagen,8500.0,van,184,Diesel,yes,2007,9
969,VAZ,2800.0,hatch,200,Petrol,yes,2005,11
970,Volkswagen,7170.0,van,176,Diesel,yes,2005,11
971,BMW,3350.0,vagon,295,Diesel,no,2002,14
979,BMW,3800.0,sedan,304,Gas,no,2000,16
981,Volkswagen,19995.0,hatch,68,Petrol,yes,2013,3
982,BMW,4400.0,sedan,260,Gas,yes,1990,26
983,Toyota,14700.0,sedan,141,Petrol,yes,2008,8
985,Volkswagen,8000.0,hatch,41,Petrol,yes,2012,4
990,VAZ,4500.0,hatch,82,Petrol,yes,2012,4
992,Volkswagen,17200.0,other,15,Petrol,yes,2014,2
993,BMW,35500.0,crossover,33,Diesel,yes,2014,2
995,Volkswagen,30000.0,van,135,Diesel,yes,2011,5
997,Mercedes-Benz,69900.0,crossover,69,Diesel,yes,2014,2
1000,BMW,34900.0,crossover,117,Petrol,yes,2011,5
1001,Toyota,29500.0,crossover,90,Gas,yes,2010,6
1005,Mercedes-Benz,42900.0,hatch,3,Other,yes,2016,0
1006,VAZ,4800.0,sedan,95,Petrol,yes,2011,5
1007,Toyota,12999.0,sedan,160,Gas,yes,2007,9
1011,Volkswagen,11900.0,van,273,Diesel,yes,2003,13
1015,BMW,25500.0,sedan,148,Diesel,yes,2007,9
1025,BMW,2222.0,sedan,268,Petrol,no,1996,20
1033,Mercedes-Benz,32000.0,van,255,Diesel,yes,2008,8
1037,VAZ,750.0,sedan,264,Other,yes,1981,35
1038,Mercedes-Benz,126000.0,sedan,14,Diesel,yes,2015,1
1039,VAZ,3600.0,hatch,155,Petrol,yes,2008,8
1040,VAZ,1700.0,sedan,80,Other,yes,1999,17
1043,VAZ,999.0,sedan,1,Petrol,yes,1989,27
1045,Mercedes-Benz,19500.0,sedan,157,Petrol,yes,2006,10
1051,Mercedes-Benz,4700.0,sedan,280,Petrol,yes,1993,23
1053,Volkswagen,12900.0,other,142,Petrol,yes,2007,9
1054,BMW,29999.0,sedan,130,Petrol,yes,2009,7
1055,Mercedes-Benz,47600.0,van,0,Diesel,yes,2016,0
1056,Mercedes-Benz,16300.0,van,175,Diesel,yes,2010,6
1057,Mercedes-Benz,7700.0,sedan,390,Diesel,no,2007,9
1062,Mercedes-Benz,8650.0,van,344,Diesel,yes,2006,10
1064,Volkswagen,9800.0,van,86,Petrol,yes,2013,3
1068,VAZ,2600.0,sedan,120,Gas,yes,1978,38
1071,Volkswagen,17777.0,van,250,Diesel,yes,2010,6
1075,Mercedes-Benz,99000.0,van,5,Diesel,yes,2013,3
1076,Toyota,17000.0,sedan,95,Gas,yes,2011,5
1078,BMW,41500.0,vagon,42,Petrol,yes,2012,4
1079,BMW,69500.0,sedan,62,Petrol,yes,2013,3
1081,Mercedes-Benz,18900.0,sedan,232,Diesel,yes,2007,9
1084,BMW,20900.0,crossover,230,Diesel,yes,2006,10
1086,Volkswagen,19100.0,other,120,Petrol,yes,2012,4
1089,Volkswagen,18800.0,vagon,106,Diesel,yes,2013,3
1090,BMW,60500.0,sedan,110,Diesel,yes,2011,5
1093,Mercedes-Benz,10150.0,other,190,Diesel,yes,2008,8
1095,Mercedes-Benz,5800.0,sedan,231,Petrol,yes,1994,22
1097,BMW,22900.0,other,25,Petrol,yes,2008,8
1098,VAZ,926.25,sedan,40,Gas,yes,1986,30
1100,Mercedes-Benz,3300.0,sedan,200,Diesel,no,2000,16
